Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Noah Kirkwood,27,25,779,119,264,0.451,81,159,0.509,38,105,0.362,51,83,0.614,13,88,101,63,28,7,72,57,327
Chris Ledlum,29,1,466,77,183,0.421,62,128,0.484,15,55,0.273,42,68,0.618,34,77,111,21,10,18,47,44,211
Chris Lewis,28,28,728,133,223,0.596,133,223,0.596,0,0,0,52,78,0.667,58,108,166,23,27,44,53,76,318
Tommy O'Neil,7,0,24,2,2,1,1,1,1,1,1,1,0,0,0,0,6,6,1,2,0,0,3,5
Luka Sakota,20,1,140,14,37,0.378,6,14,0.429,8,23,0.348,6,8,0.75,1,11,12,9,1,1,11,17,42
Idan Tretout,16,0,119,22,50,0.44,18,34,0.529,4,16,0.25,13,17,0.765,3,8,11,12,5,2,5,11,61
Henry Welsh,7,1,30,2,5,0.4,2,4,0.5,0,1,0,0,0,0,2,3,5,1,0,2,0,3,4
AJ Brodeur,27,27,934,186,369,0.504,169,307,0.55,17,62,0.274,78,109,0.716,60,180,240,140,29,48,75,60,467
Devon Goodman,27,27,981,142,314,0.452,105,183,0.574,37,131,0.282,47,80,0.588,12,81,93,86,43,8,62,62,368
Jordan Dingle,25,20,783,123,296,0.416,66,128,0.516,57,168,0.339,35,60,0.583,16,69,85,57,20,1,64,48,338
Ryan Betley,22,22,671,91,212,0.429,42,76,0.553,49,136,0.36,25,32,0.781,9,118,127,29,23,7,27,36,256
Max Martz,26,14,621,75,158,0.475,34,63,0.54,41,95,0.432,14,17,0.824,36,60,96,16,5,4,17,40,205
Eddie Scott,25,11,439,42,82,0.512,28,34,0.824,14,48,0.292,21,30,0.7,16,65,81,22,9,1,19,42,119
Lucas Monroe,27,4,401,30,63,0.476,24,47,0.511,6,16,0.375,25,42,0.595,18,69,87,24,16,12,28,46,91
Ray Jerome,19,5,257,15,42,0.357,7,15,0.467,8,27,0.296,9,12,0.75,4,21,25,13,9,2,12,19,47
Jarrod Simmons,26,4,172,13,33,0.394,10,20,0.5,3,13,0.231,12,15,0.8,14,20,34,7,1,4,15,29,41
Bryce Washington,9,1,102,15,39,0.385,9,15,0.6,6,24,0.25,1,1,1,5,13,18,3,4,0,10,8,37
Max Lorca-Lloyd,9,0,31,6,11,0.545,6,11,0.545,0,0,0,0,0,0,4,10,14,4,0,3,4,4,12
Griffin Ryan,5,0,17,2,4,0.5,1,2,0.5,1,2,0.5,1,3,0.333,1,0,1,1,0,0,1,2,6
Alex Imegwu,5,0,10,1,2,0.5,0,0,0,1,2,0.5,1,2,0.5,0,1,1,1,0,0,0,0,4
Mark Jackson,2,0,6,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,1,0
Jaelin Llewellyn,27,27,901,140,358,0.391,92,202,0.455,48,156,0.308,85,109,0.78,21,90,111,62,27,7,49,38,413
Richmond Aririguzoh,27,27,777,127,206,0.617,127,205,0.62,0,1,0,70,107,0.654,77,124,201,60,12,15,85,74,324
Ryan Schwieger,22,18,580,85,186,0.457,57,111,0.514,28,75,0.373,37,42,0.881,15,50,65,58,16,3,53,44,235
Drew Friberg,27,13,700,75,177,0.424,23,45,0.511,52,132,0.394,22,27,0.815,17,79,96,31,33,2,14,44,224
Ethan Wright,26,17,632,66,158,0.418,29,56,0.518,37,102,0.363,17,20,0.85,12,88,100,29,17,5,24,51,186
Jerome Desrosiers,27,1,336,49,101,0.485,23,34,0.676,26,67,0.388,13,17,0.765,10,56,66,17,7,3,9,26,137
Jose Morales,27,1,401,34,71,0.479,20,45,0.444,14,26,0.538,21,26,0.808,2,21,23,45,28,3,24,55,103
Tosan Evbuomwan,26,19,371,41,78,0.526,37,63,0.587,4,15,0.267,16,31,0.516,7,41,48,23,13,9,27,35,102
Ryan Langborg,20,9,324,32,77,0.416,11,18,0.611,21,59,0.356,3,3,1,5,31,36,11,8,5,11,21,88
Keeshawn Kellman,10,0,47,15,22,0.682,15,22,0.682,0,0,0,4,8,0.5,7,5,12,1,0,3,7,2,34
Max Johns,17,3,153,10,27,0.37,9,19,0.474,1,8,0.125,6,8,0.75,3,16,19,12,6,3,9,14,27
Elijah Barnes,17,0,83,9,14,0.643,9,10,0.9,0,4,0,6,9,0.667,4,9,13,4,4,0,6,13,24
Konrad Kiszka,13,0,51,6,14,0.429,5,7,0.714,1,7,0.143,6,8,0.75,1,6,7,3,2,0,3,3,19
Jacob O'Connell,11,0,32,3,7,0.429,2,4,0.5,1,3,0.333,0,0,0,1,8,9,4,0,1,4,2,7
Charlie Bagin,11,0,36,2,4,0.5,0,0,0,2,4,0.5,0,1,0,2,2,4,3,0,0,6,2,6
