Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Max Lorca-Lloyd,9,0,31,7.7,14.2,0.545,7.7,14.2,0.545,0,0,0,0,0,0,18.1,5.2,0,3.9,5.2,5.2,15.5
Ryan Betley,22,22,671,5.4,12.6,0.429,2.5,4.5,0.553,2.9,8.1,0.36,1.5,1.9,0.781,7.6,1.7,1.4,0.4,1.6,2.1,15.3
Devon Goodman,27,27,981,5.8,12.8,0.452,4.3,7.5,0.574,1.5,5.3,0.282,1.9,3.3,0.588,3.8,3.5,1.8,0.3,2.5,2.5,15
Bryce Washington,9,1,102,5.9,15.3,0.385,3.5,5.9,0.6,2.4,9.4,0.25,0.4,0.4,1,7.1,1.2,1.6,0,3.9,3.1,14.5
Griffin Ryan,5,0,17,4.7,9.4,0.5,2.4,4.7,0.5,2.4,4.7,0.5,2.4,7.1,0.333,2.4,2.4,0,0,2.4,4.7,14.1
Max Martz,26,14,621,4.8,10.2,0.475,2.2,4.1,0.54,2.6,6.1,0.432,0.9,1.1,0.824,6.2,1,0.3,0.3,1.1,2.6,13.2
Eddie Scott,25,11,439,3.8,7.5,0.512,2.6,3.1,0.824,1.3,4.4,0.292,1.9,2.7,0.7,7.4,2,0.8,0.1,1.7,3.8,10.8
Jarrod Simmons,26,4,172,3,7.7,0.394,2.3,4.7,0.5,0.7,3,0.231,2.8,3.5,0.8,7.9,1.6,0.2,0.9,3.5,6.7,9.5
Lucas Monroe,27,4,401,3,6.3,0.476,2.4,4.7,0.511,0.6,1.6,0.375,2.5,4.2,0.595,8.7,2.4,1.6,1.2,2.8,4.6,9.1
Ray Jerome,19,5,257,2.3,6.5,0.357,1.1,2.3,0.467,1.2,4.2,0.296,1.4,1.9,0.75,3.9,2,1.4,0.3,1.9,3,7.3
Mark Jackson,2,0,6,0,0,0,0,0,0,0,0,0,0,13.3,0,13.3,0,0,0,13.3,6.7,0
Colby Kyle,1,0,1,40,40,1,40,40,1,0,0,0,0,40,0,0,0,0,0,0,0,80
Keeshawn Kellman,10,0,47,12.8,18.7,0.682,12.8,18.7,0.682,0,0,0,3.4,6.8,0.5,10.2,0.9,0,2.6,6,1.7,28.9
Jaelin Llewellyn,27,27,901,6.2,15.9,0.391,4.1,9,0.455,2.1,6.9,0.308,3.8,4.8,0.78,4.9,2.8,1.2,0.3,2.2,1.7,18.3
